transaction_id,ngo_id,amount,days_since_donation,ngo_avg_verification_time,ngo_pending_ratio,is_round_number,hour_of_day,is_anomalous,reason
T01177,NGO006,43106.62,7.51,6.57,0.18,False,12,0,
T01178,NGO006,8781.83,5.48,6.92,0.21,False,10,0,
T01179,NGO006,12497.39,7.38,3.35,0.23,False,7,0,
T01180,NGO006,25313.99,4.09,6.54,0.25,False,10,0,
T01181,NGO006,16425.09,5.08,9.56,0.2,False,10,0,
T01182,NGO006,63167.67,2.64,5.97,0.2,False,7,0,
T01183,NGO006,10723.13,6.02,10.78,0.22,False,15,0,
T01184,NGO006,8207.01,11.8,9.0,0.2,False,16,0,
T01185,NGO006,10598.08,8.13,11.2,0.19,False,10,0,
T01186,NGO006,38405.86,1.96,5.54,0.21,False,10,0,
T01187,NGO006,4871.45,3.35,8.09,0.2,False,18,0,
T01188,NGO006,38172.89,4.1,7.94,0.23,False,23,0,
T01189,NGO006,18525.13,3.48,6.36,0.17,False,11,0,
T01190,NGO006,21977.93,5.88,3.81,0.23,False,13,0,
T01191,NGO006,22351.96,7.79,7.43,0.17,False,11,0,
T01192,NGO006,11040.41,0.33,12.25,0.18,False,16,0,
T01193,NGO006,12876.29,8.42,10.62,0.25,False,11,0,
T01194,NGO006,2588.53,6.77,6.34,0.21,False,10,0,
T01195,NGO006,9241.37,5.18,4.99,0.2,False,17,0,
T01196,NGO006,15100.61,6.74,8.2,0.22,False,14,0,
T01197,NGO006,14219.51,5.05,11.55,0.19,False,16,0,
T01198,NGO006,8050.17,0.62,11.48,0.14,False,15,0,
T01199,NGO006,28437.83,2.01,5.18,0.15,False,10,0,
T01200,NGO006,8197.76,6.28,13.65,0.28,False,13,0,
T01201,NGO006,17209.37,4.22,6.94,0.21,False,13,0,
T01202,NGO006,17464.22,4.26,8.0,0.19,False,15,0,
T01203,NGO006,14722.49,79.07,7.36,0.19,False,13,1,Donation sat unspent for 79 days before disbursement
T01204,NGO006,11142.84,7.39,9.88,0.21,False,15,0,
T01205,NGO006,14425.87,1.81,11.26,0.24,False,10,0,
T01206,NGO006,24458.49,6.36,10.69,0.21,False,11,0,
T01207,NGO006,20438.61,4.72,8.52,0.22,False,12,0,
T01208,NGO006,11256.2,4.79,4.59,0.21,False,12,0,
T01209,NGO006,16990.53,13.64,2.19,0.21,False,11,0,
T01210,NGO006,5000.0,7.52,1.64,0.21,True,15,1,"Round-number amount, possible structuring"
T01211,NGO006,7836.02,5.05,12.71,0.22,False,14,0,
T01212,NGO006,28142.26,9.33,9.12,0.17,False,12,0,
T01213,NGO006,12124.26,6.94,6.88,0.19,False,9,0,
T01214,NGO006,35934.44,8.93,6.48,0.17,False,10,0,
T01215,NGO006,16610.2,6.83,6.12,0.15,False,14,0,
T01216,NGO006,11420.85,1.71,9.16,0.23,False,11,0,
T01217,NGO006,35200.1,9.75,8.67,0.24,False,12,0,
T01218,NGO006,8021.85,8.9,13.04,0.15,False,10,0,
T01219,NGO006,28617.13,10.09,5.23,0.24,False,15,0,
T01220,NGO006,10510.59,12.66,5.59,0.24,False,10,0,
T01221,NGO006,17543.39,11.91,14.59,0.18,False,14,0,
T01222,NGO006,45748.17,4.39,11.95,0.18,False,13,0,
T01223,NGO006,25737.53,82.36,8.81,0.23,False,5,1,Donation sat unspent for 82 days before disbursement
T01224,NGO006,25140.17,3.37,4.01,0.19,False,12,0,
T01225,NGO006,8168.9,8.64,8.1,0.23,False,13,0,
T01226,NGO006,5639.82,3.06,8.72,0.24,False,10,0,
T01227,NGO006,14851.62,9.74,6.53,0.21,False,14,0,
T01228,NGO006,23928.75,4.69,5.71,0.18,False,12,0,
T01229,NGO006,22449.87,6.27,12.24,0.2,False,11,0,
T01230,NGO006,16843.73,7.78,8.53,0.19,False,14,0,
T01231,NGO006,20456.27,7.58,8.54,0.12,False,8,0,
T01232,NGO006,14308.19,6.93,9.66,0.21,False,5,0,
T01233,NGO006,25729.82,8.1,10.59,0.22,False,11,0,
T01234,NGO006,8903.36,9.5,5.91,0.17,False,11,0,
T01235,NGO006,8487.12,11.97,8.17,0.17,False,13,0,
T01236,NGO006,46318.14,4.55,7.49,0.19,False,14,0,
T01237,NGO006,11485.87,9.18,6.13,0.21,False,10,0,
T01238,NGO006,12771.18,8.19,5.44,0.2,False,15,0,
T01239,NGO006,5487.98,4.67,15.51,0.18,False,19,0,
T01240,NGO006,12906.94,7.35,7.92,0.25,False,8,0,
T01241,NGO006,17638.56,11.02,10.86,0.17,False,18,0,
T01242,NGO006,23232.35,13.1,7.1,0.16,False,11,0,
T01243,NGO006,42481.16,6.26,2.92,0.16,False,8,0,
T01244,NGO006,6548.16,5.39,17.58,0.2,False,9,0,
T01245,NGO006,40199.79,9.24,10.66,0.19,False,16,0,
T01246,NGO006,23287.4,5.23,9.06,0.17,False,10,0,
T01247,NGO006,14713.83,4.94,6.37,0.18,False,13,0,
T01248,NGO006,34810.84,0.14,3.82,0.21,False,10,1,Disbursed within hours of donation arriving
T01249,NGO006,10933.06,2.85,15.81,0.15,False,12,0,
T01250,NGO006,31965.78,6.44,12.07,0.2,False,9,0,
T01251,NGO006,16633.18,9.21,4.8,0.19,False,14,0,
T01252,NGO006,18270.85,7.0,3.54,0.23,False,18,0,
T01253,NGO006,6771.0,5.08,9.92,0.23,False,5,0,
T01254,NGO006,24133.94,5.42,12.11,0.3,False,13,0,
T01255,NGO006,12132.07,4.96,8.94,0.19,False,11,0,
T01256,NGO006,20271.45,3.5,7.15,0.19,False,12,0,
T01257,NGO006,8715.73,6.13,7.31,0.15,False,11,0,
T01258,NGO006,10456.1,4.97,11.71,0.22,False,14,0,
T01259,NGO006,22748.92,8.16,5.57,0.17,False,11,0,
T01260,NGO006,36845.87,7.63,6.26,0.21,False,17,0,
T01261,NGO006,9083.15,3.93,11.61,0.22,False,8,0,
T01262,NGO006,26323.09,6.1,11.17,0.21,False,14,0,
T01263,NGO006,20629.03,9.03,6.14,0.27,False,16,0,
T01264,NGO006,21768.42,13.41,4.94,0.25,False,11,0,
T01265,NGO006,16595.99,4.92,6.21,0.22,False,11,0,
T01266,NGO006,14719.87,5.88,13.0,0.19,False,15,0,
T01267,NGO006,33506.74,3.19,10.91,0.2,False,12,0,
T01268,NGO006,64985.98,5.54,9.65,0.22,False,8,0,
T01269,NGO006,16129.33,6.82,7.22,0.21,False,12,0,
T01270,NGO006,23918.98,6.2,10.94,0.19,False,10,0,
T01271,NGO006,19607.24,2.38,5.11,0.24,False,15,0,
T01272,NGO006,19770.2,1.8,6.26,0.23,False,13,0,
T01273,NGO006,7107.27,0.96,3.75,0.21,False,11,0,
T01274,NGO006,26447.76,13.84,9.44,0.21,False,10,0,
T01275,NGO006,17430.29,3.02,7.76,0.2,False,11,0,
T01276,NGO006,24341.6,12.15,5.6,0.2,False,17,0,
T01277,NGO006,22839.73,6.67,10.62,0.24,False,14,0,
T01278,NGO006,28940.19,6.4,6.07,0.18,False,13,0,
T01279,NGO006,27767.67,3.66,5.0,0.2,False,5,0,
T01280,NGO006,22835.97,5.15,6.53,0.2,False,11,0,
T01281,NGO006,14226.09,6.34,7.76,0.19,False,13,0,
T01282,NGO006,25074.46,6.58,7.61,0.15,False,17,0,
T01283,NGO006,27920.03,12.17,7.97,0.19,False,12,0,
T01284,NGO006,22955.97,11.2,10.25,0.19,False,12,0,
T01285,NGO006,37240.16,3.6,8.34,0.19,False,9,0,
T01286,NGO006,18064.88,6.82,8.85,0.18,False,7,0,
T01287,NGO006,18350.08,4.42,6.61,0.22,False,11,0,
T01288,NGO006,48462.62,1.01,7.36,0.23,False,15,0,
T01289,NGO006,12413.03,8.73,6.4,0.21,False,11,0,
T01290,NGO006,9838.94,2.47,13.19,0.19,False,10,0,
T01291,NGO006,9761.88,7.41,15.04,0.2,False,16,0,
T01292,NGO006,9324.57,6.79,11.88,0.16,False,14,0,
T01293,NGO006,57163.98,3.91,8.34,0.21,False,11,0,
T01294,NGO006,17537.21,4.7,5.85,0.18,False,14,0,
T01295,NGO006,7792.86,8.56,6.11,0.17,False,14,0,
T01296,NGO006,16222.61,3.36,4.08,0.21,False,12,0,
T01297,NGO006,33971.72,3.52,6.08,0.18,False,13,0,
T01298,NGO006,14033.0,3.93,8.73,0.23,False,10,0,
T01299,NGO006,15306.02,4.5,4.34,0.13,False,9,0,
T01300,NGO006,32709.76,1.98,10.78,0.24,False,13,0,
T01301,NGO006,19069.01,9.5,10.56,0.16,False,16,0,
T01302,NGO006,14542.07,8.28,7.07,0.18,False,11,0,
T01303,NGO006,33964.53,3.23,6.79,0.18,False,7,0,
T01304,NGO006,30000.0,5.22,4.81,0.2,True,10,1,"Round-number amount, possible structuring"
T01305,NGO006,11300.67,11.92,10.45,0.17,False,10,0,
T01306,NGO006,21179.75,10.44,8.54,0.2,False,8,0,
T01307,NGO006,11620.8,4.63,7.92,0.23,False,9,0,
T01308,NGO006,4897.97,7.39,10.58,0.17,False,11,0,
T01309,NGO006,6602.84,4.28,10.75,0.19,False,16,0,
T01310,NGO006,5328.41,1.54,7.01,0.21,False,15,0,
T01311,NGO006,14333.72,7.3,12.03,0.21,False,11,0,
T01312,NGO006,22228.59,6.05,5.5,0.19,False,9,0,
T01313,NGO006,29778.14,15.28,8.15,0.22,False,14,0,
T01314,NGO006,18468.23,5.56,9.06,0.23,False,12,0,
T01315,NGO006,9731.39,6.74,7.86,0.18,False,7,0,
T01316,NGO006,34529.53,11.94,8.71,0.17,False,18,0,
T01317,NGO006,16701.8,2.56,6.19,0.27,False,16,0,
T01318,NGO006,9753.58,5.87,9.87,0.15,False,11,0,
T01319,NGO006,12010.58,5.04,4.39,0.68,False,10,1,NGO has unusually high pending/unverified disbursement ratio (68%)
T01320,NGO006,23311.86,10.12,8.66,0.18,False,14,0,
T01321,NGO006,11907.78,9.35,2.08,0.18,False,9,0,
T01322,NGO006,18561.3,3.48,6.0,0.19,False,2,0,
T01323,NGO006,10677.31,4.4,11.05,0.22,False,18,0,
T01324,NGO006,13711.85,4.5,9.86,0.19,False,12,0,
T01325,NGO006,14600.98,10.96,10.34,0.22,False,17,0,
T01326,NGO006,26806.32,0.1,4.01,0.21,False,15,1,Disbursed within hours of donation arriving
T01327,NGO006,22577.04,6.59,9.53,0.23,False,16,0,
T01328,NGO006,11376.91,7.63,8.75,0.23,False,15,0,
T01329,NGO006,10401.64,8.69,12.18,0.19,False,10,0,
T01330,NGO006,11804.36,9.85,17.15,0.17,False,12,0,
T01331,NGO006,15608.48,4.37,11.96,0.24,False,13,0,
T01332,NGO006,15098.8,5.96,6.55,0.22,False,14,0,
T01333,NGO006,10283.67,4.81,10.49,0.18,False,12,0,
T01334,NGO006,21164.61,0.71,6.31,0.21,False,8,0,
T01335,NGO006,25668.91,2.32,10.27,0.19,False,1,1,Disbursement created at unusual hour (1:00)
T01336,NGO006,16439.88,6.6,8.2,0.14,False,17,0,
T01337,NGO006,24366.63,10.62,9.48,0.18,False,10,0,
T01338,NGO006,13719.54,4.71,12.3,0.21,False,15,0,
T01339,NGO006,41884.0,6.6,8.08,0.23,False,10,0,
T01340,NGO006,12781.97,8.71,2.16,0.22,False,16,0,
T01341,NGO006,11080.77,7.92,10.11,0.25,False,11,0,
T01342,NGO006,10860.35,10.25,6.99,0.21,False,17,0,
T01343,NGO006,21539.2,6.2,10.35,0.17,False,8,0,
T01344,NGO006,10344.33,1.64,9.04,0.22,False,15,0,
T01345,NGO006,16962.62,7.35,9.64,0.19,False,11,0,
T01346,NGO006,37993.77,8.12,7.79,0.21,False,12,0,
T01347,NGO006,30470.94,11.57,7.96,0.2,False,14,0,
T01348,NGO006,12184.06,4.62,6.19,0.19,False,14,0,
T01349,NGO006,20483.8,0.39,8.29,0.18,False,9,0,
T01350,NGO006,23422.84,10.06,11.43,0.18,False,16,0,
T01351,NGO006,15208.76,7.53,9.83,0.23,False,9,0,
T01352,NGO006,22788.23,5.55,5.68,0.27,False,9,0,
T01353,NGO006,4995.93,7.33,7.43,0.24,False,16,0,
T01354,NGO006,9740.89,8.01,10.37,0.24,False,10,0,
T01355,NGO006,12049.05,3.28,10.58,0.14,False,14,0,
T01356,NGO006,21211.87,1.46,3.56,0.17,False,13,0,
T01357,NGO006,11048.83,11.75,8.6,0.21,False,12,0,
T01358,NGO006,7091.67,4.32,7.53,0.21,False,13,0,
T01359,NGO006,20951.57,3.69,3.51,0.18,False,16,0,
T01360,NGO006,26105.66,6.55,9.14,0.19,False,14,0,
T01361,NGO006,12280.76,5.54,10.58,0.23,False,12,0,
T01362,NGO006,65836.34,2.34,192.86,0.14,False,18,1,Unusually slow bill verification for this NGO (193h)
T01363,NGO006,19252.8,8.3,9.13,0.22,False,15,0,
T01364,NGO006,13837.84,3.28,8.66,0.21,False,8,0,
T01365,NGO006,7832.6,7.78,10.96,0.19,False,15,0,
T01366,NGO006,4135.49,10.49,7.38,0.14,False,13,0,
T01367,NGO006,17132.52,4.52,6.58,0.18,False,16,0,
T01368,NGO006,30148.0,8.93,8.26,0.15,False,15,0,
T01369,NGO006,10164.94,4.04,6.24,0.19,False,13,0,
T01370,NGO006,19502.49,5.88,14.71,0.2,False,11,0,
T01371,NGO006,37066.92,4.55,6.1,0.18,False,11,0,
T01372,NGO006,9092.4,4.79,11.63,0.24,False,14,0,
T01373,NGO006,18050.17,6.13,12.02,0.17,False,10,0,
T01374,NGO006,10243.7,3.21,6.72,0.19,False,18,0,
T01375,NGO006,10517.58,6.66,9.61,0.19,False,11,0,
T01376,NGO006,18070.21,9.63,8.16,0.25,False,15,0,
T01377,NGO006,22828.87,2.04,6.56,0.2,False,15,0,
T01378,NGO006,47112.67,5.9,6.72,0.19,False,15,0,
T01379,NGO006,23692.43,8.0,11.69,0.2,False,15,0,
T01380,NGO006,14228.09,5.66,8.06,0.19,False,17,0,
T01381,NGO006,19366.86,5.38,8.83,0.23,False,11,0,
T01382,NGO006,59110.45,0.56,5.38,0.1,False,12,0,
T01383,NGO006,16696.64,2.57,6.13,0.18,False,18,0,
T01384,NGO006,8894.71,5.02,14.19,0.15,False,8,0,
T01385,NGO006,31541.26,5.95,8.05,0.2,False,14,0,
T01386,NGO006,9646.97,8.86,10.6,0.18,False,10,0,
T01387,NGO006,12182.38,3.31,5.51,0.18,False,14,0,
T01388,NGO006,11559.52,6.24,7.37,0.2,False,10,0,
T01389,NGO006,22067.37,9.82,9.54,0.14,False,13,0,
T01390,NGO006,11614.84,6.1,7.14,0.23,False,15,0,
T01391,NGO006,17153.11,0.85,10.82,0.18,False,17,0,
T01392,NGO006,15238.24,3.91,11.65,0.18,False,15,0,
T01393,NGO006,15216.41,1.55,4.8,0.17,False,14,0,
T01394,NGO006,15047.27,98.51,16.14,0.23,False,16,1,Donation sat unspent for 99 days before disbursement
T01395,NGO006,30242.42,4.5,12.21,0.21,False,12,0,
T01396,NGO006,44319.62,0.3,8.55,0.23,False,14,1,Disbursed within hours of donation arriving
T01397,NGO006,25306.26,9.56,6.87,0.2,False,15,0,
T01398,NGO006,19564.53,9.23,6.76,0.2,False,17,0,
T01399,NGO006,25947.74,3.36,6.37,0.22,False,10,0,
T01400,NGO006,14549.62,0.95,6.17,0.21,False,12,0,
T01401,NGO006,10452.56,6.32,7.13,0.24,False,11,0,
T01402,NGO006,25020.12,7.4,2.75,0.22,False,8,0,
T01403,NGO006,14204.97,5.73,6.06,0.15,False,16,0,
T01404,NGO006,14852.42,5.01,9.58,0.2,False,12,0,
T01405,NGO006,11433.68,3.31,7.7,0.24,False,16,0,
T01406,NGO007,7133.06,4.17,37.46,0.08,False,16,0,
T01407,NGO007,5402.59,3.96,40.25,0.08,False,9,0,
T01408,NGO007,18483.8,11.26,40.66,0.11,False,15,0,
T01409,NGO007,14034.66,6.75,38.99,0.04,False,12,0,
T01410,NGO007,6600.21,7.94,36.92,0.08,False,15,0,
T01411,NGO007,46084.28,2.56,32.55,0.15,False,9,0,
T01412,NGO007,40324.03,4.35,37.29,0.1,False,12,0,
T01413,NGO007,9846.32,4.16,30.7,0.13,False,14,0,
T01414,NGO007,9376.59,5.52,31.72,0.07,False,14,0,
T01415,NGO007,32439.81,3.66,35.93,0.13,False,14,0,
T01416,NGO007,13587.42,9.73,39.6,0.06,False,7,0,
T01417,NGO007,7127.87,9.57,35.62,0.08,False,14,0,
T01418,NGO007,7449.98,1.31,39.22,0.09,False,15,0,
T01419,NGO007,11200.23,4.67,33.45,0.11,False,9,0,
T01420,NGO007,4443.43,52.74,35.95,0.11,False,13,1,Donation sat unspent for 53 days before disbursement
T01421,NGO007,49277.38,2.87,38.49,0.12,False,12,0,
T01422,NGO007,7372.8,5.95,30.87,0.07,False,15,0,
T01423,NGO007,18119.4,3.76,37.48,0.14,False,14,0,
T01424,NGO007,33287.61,6.28,31.25,0.09,False,17,0,
T01425,NGO007,11483.21,7.95,37.21,0.07,False,14,0,
T01426,NGO007,19841.83,5.82,36.74,0.08,False,14,0,
T01427,NGO007,11264.33,9.33,38.89,0.04,False,11,0,
T01428,NGO007,21361.24,6.65,37.63,0.15,False,11,0,
T01429,NGO007,17134.65,4.35,36.13,0.13,False,15,0,
T01430,NGO007,11421.87,9.68,38.11,0.08,False,10,0,
T01431,NGO007,31057.86,10.53,32.6,0.1,False,15,0,
T01432,NGO007,4855.76,7.05,34.44,0.09,False,11,0,
T01433,NGO007,16775.09,4.97,37.46,0.1,False,20,0,
T01434,NGO007,37022.0,2.74,34.55,0.08,False,6,0,
T01435,NGO007,10863.59,3.33,43.11,0.08,False,11,0,
T01436,NGO007,24533.65,8.51,36.27,0.06,False,12,0,
T01437,NGO007,20560.49,5.08,45.26,0.07,False,18,0,
T01438,NGO007,30941.83,7.67,34.11,0.1,False,11,0,
T01439,NGO007,15059.62,7.19,38.69,0.09,False,14,0,
T01440,NGO007,15553.69,71.12,33.31,0.09,False,14,1,Donation sat unspent for 71 days before disbursement
T01441,NGO007,25074.17,6.06,35.66,0.07,False,15,0,
T01442,NGO007,7119.5,6.31,37.97,0.1,False,16,0,
T01443,NGO007,70231.25,9.57,34.56,0.12,False,8,0,
T01444,NGO007,7675.41,10.72,36.01,0.07,False,15,0,
T01445,NGO007,15779.83,8.91,38.38,0.1,False,13,0,
T01446,NGO007,19377.85,7.88,36.54,0.14,False,5,0,
T01447,NGO007,8638.41,13.62,43.4,0.06,False,15,0,
T01448,NGO007,9325.74,5.81,37.33,0.08,False,11,0,
T01449,NGO007,20876.13,6.97,33.44,0.72,False,12,1,NGO has unusually high pending/unverified disbursement ratio (72%)
T01450,NGO007,5995.09,1.98,35.4,0.08,False,15,0,
T01451,NGO007,23259.92,4.29,36.52,0.09,False,16,0,
T01452,NGO007,12920.99,4.6,37.83,0.06,False,16,0,
T01453,NGO007,11001.61,2.23,37.36,0.11,False,14,0,
T01454,NGO007,15073.13,8.08,35.67,0.11,False,10,0,
T01455,NGO007,16677.23,7.08,37.26,0.09,False,14,0,
T01456,NGO007,12947.22,10.51,36.76,0.1,False,9,0,
T01457,NGO007,12448.24,6.36,36.34,0.1,False,11,0,
T01458,NGO007,20180.74,8.67,34.18,0.13,False,10,0,
T01459,NGO007,16214.43,0.51,34.42,0.12,False,15,0,
T01460,NGO007,7985.3,6.0,37.2,0.09,False,14,0,
T01461,NGO007,12698.36,7.25,36.11,0.01,False,12,0,
T01462,NGO007,5538.15,10.21,33.59,0.06,False,14,0,
T01463,NGO007,16573.93,9.4,31.1,0.06,False,16,0,
T01464,NGO007,31784.98,2.49,39.48,0.06,False,18,0,
T01465,NGO007,17475.01,7.76,35.5,0.1,False,11,0,
T01466,NGO007,10159.08,3.9,40.3,0.06,False,10,0,
T01467,NGO007,17687.11,7.46,38.5,0.07,False,15,0,
T01468,NGO007,32058.4,3.3,36.41,0.11,False,16,0,
T01469,NGO007,9117.37,4.42,37.22,0.11,False,7,0,
T01470,NGO007,33464.43,5.7,35.64,0.1,False,17,0,
T01471,NGO007,31130.63,9.56,40.52,0.1,False,12,0,
T01472,NGO007,9711.21,6.75,35.92,0.18,False,14,0,
T01473,NGO007,9353.15,5.69,34.87,0.15,False,11,0,
T01474,NGO007,21737.55,8.96,38.29,0.15,False,12,0,
T01475,NGO007,10094.25,8.49,36.05,0.13,False,18,0,
T01476,NGO007,5408.29,7.29,33.02,0.12,False,16,0,
T01477,NGO007,9871.88,8.61,38.66,0.07,False,12,0,
T01478,NGO007,32002.72,5.84,31.26,0.11,False,16,0,
T01479,NGO007,16083.29,10.4,34.52,0.08,False,14,0,
T01480,NGO007,18232.64,5.21,33.22,0.08,False,15,0,
T01481,NGO007,23586.87,12.77,35.47,0.16,False,12,0,
T01482,NGO007,13990.07,4.2,39.08,0.12,False,7,0,
T01483,NGO007,29302.04,6.81,36.61,0.1,False,10,0,
T01484,NGO007,8746.26,4.56,40.2,0.06,False,10,0,
T01485,NGO007,13718.69,2.54,38.5,0.13,False,17,0,
T01486,NGO007,11545.62,5.43,39.05,0.1,False,11,0,
T01487,NGO007,7543.71,0.74,36.01,0.12,False,9,0,
T01488,NGO007,26030.19,0.64,38.69,0.15,False,10,0,
T01489,NGO007,18240.03,2.86,39.37,0.08,False,13,0,
T01490,NGO007,12673.11,9.45,38.04,0.12,False,15,0,
T01491,NGO007,18286.86,8.76,37.32,0.12,False,8,0,
T01492,NGO007,16615.97,5.41,36.11,0.09,False,15,0,
T01493,NGO007,16947.39,9.41,37.37,0.09,False,13,0,
T01494,NGO007,13184.01,5.64,40.7,0.11,False,11,0,
T01495,NGO007,10476.3,5.52,36.28,0.08,False,14,0,
T01496,NGO007,55875.41,4.32,35.98,0.1,False,15,0,
T01497,NGO007,38383.49,5.84,38.55,0.08,False,13,0,
T01498,NGO007,40055.73,6.79,34.0,0.03,False,8,0,
T01499,NGO007,10303.57,5.18,34.5,0.07,False,9,0,
T01500,NGO007,23253.93,2.98,34.86,0.04,False,15,0,
T01501,NGO007,15761.56,7.56,41.98,0.11,False,12,0,
T01502,NGO007,8514.67,2.9,30.89,0.14,False,12,0,
T01503,NGO007,24572.1,9.18,39.67,0.12,False,8,0,
T01504,NGO007,15028.78,6.3,38.6,0.09,False,11,0,
T01505,NGO007,10245.01,0.89,36.43,0.1,False,13,0,
T01506,NGO007,27559.61,2.32,36.19,0.09,False,16,0,
T01507,NGO007,15232.54,7.3,36.14,0.1,False,13,0,
T01508,NGO007,25576.99,6.06,39.84,0.13,False,12,0,
T01509,NGO007,9644.92,0.37,39.46,0.06,False,16,0,
T01510,NGO007,11869.67,5.34,36.2,0.1,False,10,0,
T01511,NGO007,22900.11,7.67,38.55,0.08,False,8,0,
T01512,NGO007,13169.84,7.65,34.98,0.1,False,10,0,
T01513,NGO007,16309.13,5.07,39.99,0.04,False,9,0,
T01514,NGO007,44564.97,4.13,33.68,0.16,False,17,0,
T01515,NGO007,9555.58,3.16,35.48,0.07,False,14,0,
T01516,NGO007,8517.51,1.37,33.92,0.1,False,8,0,
T01517,NGO007,30085.17,8.54,35.69,0.13,False,13,0,
T01518,NGO007,11741.52,10.81,38.43,0.08,False,15,0,
T01519,NGO007,30789.3,7.31,36.98,0.09,False,11,0,
T01520,NGO007,13501.3,4.46,39.55,0.12,False,12,0,
T01521,NGO007,9920.49,5.5,42.84,0.1,False,10,0,
T01522,NGO007,9172.12,1.29,34.57,0.13,False,14,0,
T01523,NGO007,15958.43,4.53,43.77,0.04,False,20,0,
T01524,NGO007,16865.06,2.59,39.16,0.1,False,12,0,
T01525,NGO007,29341.0,0.87,37.52,0.12,False,16,0,
T01526,NGO007,12806.58,0.02,38.75,0.11,False,8,0,
T01527,NGO007,29904.15,1.74,37.31,0.13,False,15,0,
T01528,NGO007,24959.62,7.66,35.89,0.08,False,12,0,
T01529,NGO007,20890.33,3.55,37.88,0.12,False,11,0,
T01530,NGO007,17515.49,6.74,36.54,0.05,False,12,0,
T01531,NGO007,10244.51,2.77,35.52,0.12,False,7,0,
T01532,NGO007,9231.27,1.98,39.73,0.1,False,12,0,
T01533,NGO007,35381.28,5.63,34.36,0.13,False,14,0,
T01534,NGO007,24468.94,7.03,34.32,0.11,False,14,0,
T01535,NGO007,25000.0,10.21,38.33,0.08,True,15,1,"Round-number amount, possible structuring"
T01536,NGO007,8882.71,3.65,37.8,0.11,False,9,0,
T01537,NGO007,44255.08,6.25,36.95,0.14,False,12,0,
T01538,NGO007,9484.76,10.66,39.05,0.15,False,9,0,
T01539,NGO007,19388.66,71.21,36.73,0.09,False,13,1,Donation sat unspent for 71 days before disbursement
T01540,NGO007,10246.04,5.08,41.15,0.09,False,15,0,
T01541,NGO007,6999.62,5.44,36.05,0.06,False,14,0,
T01542,NGO007,35724.62,5.54,31.61,0.1,False,13,0,
T01543,NGO007,21166.93,2.93,40.93,0.69,False,15,1,NGO has unusually high pending/unverified disbursement ratio (69%)
T01544,NGO007,10624.99,9.59,36.24,0.09,False,19,0,
T01545,NGO007,12550.63,8.43,36.58,0.1,False,14,0,
T01546,NGO007,27904.87,8.31,42.3,0.05,False,15,0,
T01547,NGO007,10590.29,8.55,42.55,0.08,False,13,0,
T01548,NGO007,10786.67,2.91,41.42,0.04,False,11,0,
T01549,NGO007,25938.99,6.88,31.54,0.07,False,11,0,
T01550,NGO007,11252.16,8.53,43.25,0.08,False,18,0,
T01551,NGO007,30972.88,4.86,34.3,0.07,False,5,0,
T01552,NGO007,26101.43,2.19,35.13,0.17,False,9,0,
T01553,NGO007,5802.38,7.77,32.5,0.07,False,13,0,
T01554,NGO007,21103.32,8.94,38.27,0.13,False,11,0,
T01555,NGO007,17842.55,9.9,35.65,0.06,False,10,0,
T01556,NGO007,18103.57,5.26,36.64,0.13,False,13,0,
T01557,NGO007,20956.41,1.36,37.28,0.1,False,11,0,
T01558,NGO007,19386.28,5.96,38.66,0.09,False,10,0,
T01559,NGO007,29028.05,6.12,34.64,0.09,False,12,0,
T01560,NGO007,23397.08,5.42,38.84,0.06,False,11,0,
T01561,NGO007,22177.83,7.7,36.61,0.12,False,13,0,
T01562,NGO007,45577.32,3.37,41.29,0.06,False,10,0,
T01563,NGO007,11574.25,9.54,35.11,0.06,False,15,0,
T01564,NGO007,51043.97,4.21,31.04,0.04,False,11,0,
T01565,NGO007,18165.44,9.22,39.42,0.11,False,17,0,
T01566,NGO007,14461.0,3.98,33.6,0.04,False,12,0,
T01567,NGO007,10425.47,4.95,36.11,0.07,False,9,0,
T01568,NGO007,20082.39,6.28,41.2,0.07,False,17,0,
T01569,NGO007,17229.02,7.85,36.91,0.04,False,2,1,Disbursement created at unusual hour (2:00)
T01570,NGO007,16331.01,3.71,33.49,0.1,False,16,0,
T01571,NGO007,15679.98,6.56,41.15,0.09,False,10,0,
T01572,NGO007,26606.55,2.86,39.65,0.09,False,12,0,
T01573,NGO007,19083.68,8.46,37.74,0.1,False,11,0,
T01574,NGO007,31129.02,5.39,38.4,0.14,False,10,0,
T01575,NGO007,21002.44,9.94,33.08,0.17,False,12,0,
T01576,NGO007,6196.94,1.12,38.92,0.11,False,15,0,
T01577,NGO007,16489.63,9.97,36.84,0.09,False,18,0,
T01578,NGO007,19199.79,3.99,32.86,0.12,False,13,0,
T01579,NGO007,11520.18,5.7,36.54,0.06,False,11,0,
T01580,NGO007,31222.43,9.28,33.79,0.05,False,7,0,
T01581,NGO007,18194.09,3.1,35.02,0.09,False,12,0,
T01582,NGO007,18382.08,8.56,35.26,0.11,False,11,0,
T01583,NGO007,40911.71,4.86,35.41,0.07,False,12,0,
T01584,NGO007,15690.93,1.42,44.46,0.1,False,13,0,
T01585,NGO007,8963.42,1.36,34.96,0.1,False,10,0,
T01586,NGO007,11554.21,50.7,41.38,0.05,False,10,1,Donation sat unspent for 51 days before disbursement
T01587,NGO007,10303.83,2.71,45.35,0.09,False,7,0,
